file,caption,md5,referenced in
CD163_AF647/Human_LN_CD163_CD4.jpg,"Human lymph node: CD163 (red, catalog number 333620) and CD4 (blue, catalog number 300519)",8370f467af6d42bee4d200cdee3a1b16,"['CD4_AF488/0000-0003-4379-8967.md', 'CD163_AF647/0000-0003-4379-8967.md']"
PNA_AF488/Lectin_PNA_AF488_Thermo_L21409.jpg,"Human retina: Lectin PNA (green, catalog number L21409) and Hoechst (blue, catalog number 40046)",8c0a3326ca258c0daf1cfafc93bff8df,['PNA_AF488/0000-0003-2088-8310.md']
PI3_Kinase_p110_delta_Unconjugated/Tonsil_PI3Kinasep110AF594_CST_19591.jpg,"Human tonsil FFPE: PI3 Kinase p110 delta (cyan, catalog number 19591S)",e223f66f391fdcea396b0a283dc9b27c,['PI3_Kinase_p110_delta_Unconjugated/0000-0003-4379-8967.md']
Alpha_smooth_muscle_actin_AF488/aSMA_AF488_LN_Thermo_53-9760-82.jpg,"Human lymph node: Alpha smooth muscle actin (red, catalog number 53-9760-82)",a411420d0e1699fd1fb3df955a2c3fc9,['Alpha_smooth_muscle_actin_AF488/0000-0003-4379-8967.md']
Alpha_smooth_muscle_actin_AF488/Alpha_smooth_muscle_actin_AF488_Thermo_53-9760-82.jpg,"Human retina: Alpha smooth muscle actin (cyan, catalog number 53-9760-82) and Hoechst (blue, catalog number 40046)",58faee199978a1872001157924723014,['Alpha_smooth_muscle_actin_AF488/0000-0003-2088-8310.md']
CD68_iF594/Spleen_CD44_AF647_BioLegend_103018_CD68_iF594_CapricoBio_1064135.jpeg,"Human spleen: CD44 (cyan, catalog number X) and CD68 (magenta, catalog number 1064135)",fc8172d4c93577a8342ed5f569c560c1,['CD68_iF594/0000-0003-4379-8967.md']
CD10_PE/CD10_PE_LN_BioLegend_312204.jpg,"Human lymph node: CD10 (red, catalog number 312204) and Hoechst (cyan, catalog number 40046) ",387914f82792ae6b1790eda6a2a90070,['CD10_PE/0000-0003-4379-8967.md']
CD31_AF647/Mouse_Brain_Tumor_Hochest_Blue_mCherry_Green_Novus_NBP2_25158_CD31_Magenta_Biolegend_102515.jpg,Mouse Brain Tumor Hochest(Blue) mCherry (Green Novus #NBP2-25158) CD31(Magenta Biolegend #102515),ce565d1e768506d4e569e0ca76e1cf72,['CD31_AF647/0000-0002-6944-6997.md']
CD44_AF532/Human_Liver_Keratin7_CD44_CD45.jpg,"Human liver: Cytokeratin 7 (green, catalog number 601606), CD44 (blue, based on catalog number 103002) and CD45 (magenta, catalog number 304060)",dff48394507a7cc3d45178f49e899733,"['Cytokeratin_7_AF488/0000-0002-3218-4479.md', 'CD44_AF532/0000-0003-4379-8967.md']"
CD44_AF532/Mouse_Thymus_CD44_TCRgt.jpg,"Mouse thymus: CD44 (blue, based on catalog number 103002) and TCRgd (yellow, catalog number 118108)",e9c7966ba24e7ae1c1df32e142352308,"['CD44_AF532/0000-0003-4379-8967.md', 'TCR_gamma_delta_PE/0000-0003-4379-8967.md']"
CD1c_PE/Human_LN_CD1c_CD8_CD25.jpg,"Human lymph node: CD1c (red, catalog number 331506), CD8 (blue, catalog number 344716), and CD25 (yellow, catalog number 356128)",3170fbb822cac6a06f4622adcb5a0a5f,"['CD1c_PE/0000-0003-4379-8967.md', 'CD8_AF488/0000-0003-4379-8967.md']"
CD1c_PE/CD1c_PE_BioLegend_331506_BCL6_AF647_BDBiosciences_561525.jpg,"Human lymph node: CD1c (yellow, catalog number 331506) and BCL6 (cyan, catalog number 561525) ",f58550791e46d869029ddf54fa068190,['CD1c_PE/0000-0003-4379-8967.md']
DDR2_Unconjugated/FL_FFPE_DDR2_AF555_AF2538.jpg,"Human follicular lymphoma FFPE: DDR2 (green, catalog number AF2538)",d651579f1935dc2ec579d16170ebda17,['DDR2_Unconjugated/0000-0003-4379-8967.md']
Ki-67_AF700/Spleen_Ki-67_AF700_BD_561277_CD21_AF532_BioLegend_354902.jpeg,"Human spleen: Ki-67 (yellow, catalog number 561277) and CD21 (cyan, based on catalog number 354902)",613534eba8b02a0d3289f6291746dece,"['CD21_AF532/0000-0003-4379-8967.md', 'Ki-67_AF700/0000-0003-4379-8967.md']"
mCherrry_NA/Mouse_Brain_Tumor_Hochest_Cyan_mcherry_red_Novus_NBP2_25158.jpg,Mouse Brain Tumor Hochest (Cyan) mcherry (red Novus #NBP2-25158),98db1a46d70832fb1f8a179675428a62,['mCherrry_NA/0000-0002-6944-6997.md']
Iba1_Unconjugated/Iba1_Unconjugated_Abcam_ab5076.jpg,"Human retina: Iba1 (cyan, catalog number ab5076 and A32816) and Hoechst (blue, catalog number 40046)",0d65ea59ee373679416d5af75a08afa5,"['Iba1_Unconjugated/0000-0003-2088-8310.md', 'Goat_IgG__H+L__AF555__Plus_/0000-0003-2088-8310.md']"
Arrestin_C_Unconjugated/Arrestin_C_Unconjugated_MilliporeSigma_MABN2636.jpg,"Human retina: Arrestin C (green, catalog number MABN2636-100UG) and Hoechst (blue, catalog number 40046)",7694e838ef89c2847bdab55c45984026,['Arrestin_C_Unconjugated/0000-0003-2088-8310.md']
CD206_BV421/Mouse_Thymus_CD206_Cytokeratin.jpg,"Mouse thymus: CD206 (cyan, catalog number 141717) and Cytokeratin (purple, catalog number 628604)",bf7f8d031642d40641863f733423b719,"['Cytokeratin_AF647/0000-0003-4379-8967.md', 'CD206_BV421/0000-0003-4379-8967.md']"
CD206_BV421/Mouse_Lung_CD11c_CD206_CD31.jpg,"Mouse lung: CD11c (magenta, catalog number 117312), CD206 (blue, catalog number 141717), and CD31 (green, catalog number 102520)",151a98787160e84f01a2b4e793f83b36,"['CD11c_AF647/0000-0003-4379-8967.md', 'CD206_BV421/0000-0003-4379-8967.md']"
CD206_BV421/Mouse_Lymph_Node_CD206_CD106.jpg,"Mouse lymph node: CD206 (red, catalog number 141717) and CD106 (cyan, catalog number 105710)",ddc306fc1e4d47f81b1c6ae074e145ca,"['CD106_AF488/0000-0003-4379-8967.md', 'CD206_BV421/0000-0003-4379-8967.md']"
SPARC_AF532/SPARC_LN_RandDAF941.jpg,"Human lymph node: SPARC (red, based on catalog number AF941) ",aef8f1a0b514748595e99e9b3181bf31,['SPARC_AF532/0000-0003-4379-8967.md']
